name,numberOfDoses,periodicity,description,preventDeseases,recommendations
BCG,1,,Previne Tuberculose,Tuberculose,Criança
Combinada hepatite A e B,2,180,Previne Hepatite A e B,Hepatite A e B,Todos
Combinadas à DTPa,3,60;60,Previne Difteria. Tétano. Coqueluche. Meningite por Haemophilus influenza tipo b e Poliomielite,Difteria; tétano; coqueluche; meningite por Haemophilus influenza tipo b e poliomielite,Todos
Dengue,3,180;180,Previne Dengue,Dengue,Criança; Adulto
Febre Amarela,1,,Previne Febre amarela,Febre amarela,Todos
Gripe (influenza),2,30,Previne Infecção pelo vírus influenza,Infecção pelo vírus influenza,Todos
Haemophilus influenzae tipo b (Hib),3,60;60,Previne Doenças causadas pelo Haemophilus tipo b,Doenças causadas pelo Haemophilus tipo b,Criança; Adulto
Hepatite A,2,180,Previne Hepatite A,Hepatite A,Todos
Hepatite B,4,60;60;60,Previne ,Hepatite B,Todos
HPV2,2,180,Previne Infecções e lesões causadas pelos HPV 16 e 18,Infecções e lesões causadas pelos HPV 16 e 18,Adolescente
HPV4,2,180,Previne Infecções e lesões causadas pelos HPV 6 11 16 18,Infecções e lesões causadas pelos HPV 6; 11; 16; 18,Adolescente
Meningocócica B,2,60,Previne Meningite e infecções causadas pela bactéria meningococo tipo B,Meningite e infecções causadas pela bactéria meningococo tipo B,Criança; Adulto
Meningocócica C conjugada,3,60;210,Previne Doenças causadas pelo meningococo C,Doenças causadas pelo meningococo C,Criança; Adulto
Meningocócica conjudaga quadrivalente - ACWY,2,,Previne Meningites e infecções causadas pela bactéria meningococo tipos A C W Y,Meningites e infecções causadas pela bactéria meningococo tipos A; C; W; Y,Criança; Adulto
Pneumocócicas conjugadas,2,60,Previne Doenças como pneumonia meningite e otite,Doenças como pneumonia; meningite e otite,Todos
Poliomielite,3,60 ; 60,Previne Poliomielite,Poliomielite,Criança
Quádrupla viral (sarampo; caxumba; rubéola e varicela - SCR-V),1,,Previne sarampo caxumba rubéola e varicela,sarampo; caxumba; rubéola e varicela,Criança
Rotavírus,2,60,Previne Diarréia,Diarréia,Criança
Tríplice bacteriana acelular do tipo adulto (dTpa),1,,Previne Difteria. Tétano e coqueluche,Difteria; tétano e coqueluche,Todos
Tríplice bacteriana acelular do tipo adulto com poliomielite (dTpa-VIP),1,,Previne Difteria. Tétano Coqueluche e Poliomielite,Difteria; tétano; coqueluche e poliomielite,Todos
Tríplice bacteriana acelular infantil (DTPa),1,,Previne Difteria. Tétano e coqueluche,Difteria; tétano e coqueluche,Criança
Tríplice bacteriana de células inteiras (DTPw),3,60 ; 60,Previne Difteria. Tétano e coqueluche,Difteria; tétano e coqueluche,Criança
Tríplice bacteriana de células inteiras combinada com Hib e hepatite B (DTPw-HB/Hib),1,,Previne Difteria. Tétano Coqueluche Meningite por Hib e Hepatite,Difteria; tétano; coqueluche; meningite por Hib e hepatite,Criança
Tríplice viral (sarampo; caxumba e rubéola - SCR),2,30,Previne Sarampo. Caxumba. Rubéola e varicela,Sarampo caxumba; rubéola e varicela,Todos
Varicela (catapora),1,,Previne Varicela (catapora),Varicela (catapora),Criança; Adulto
Herpez zóster,1,,Previne Herpez,Herpez,Adulto; Idosos